label,texto
FALSO,Seu professor de História contou que a Dilma me matou?
FALSO,Lula detém 52% das ações da 'Folha de SPaulo'
FALSO,O período militar não foi ditadura — Jair Bolsonaro em entrevista ao Jornal da Band
FALSO,O programa Mais Médicos criado pelo PT foi para atender à ditadura cubana — Jair Bolsonaro em entrevista à TV Record
FALSO,um kit feito pelo então ministro da Educação Haddad em 2009 pra 2010 onde chegaria nas escolas um conjunto de livros cartazes e filmes onde passariam crianças se acariciando e meninos se beijando - Jair Bolsonaro em entrevista à TV Globo
FALSO,O jornal 'Folha de São Paulo' foi lá nesse dia 10 de janeiro e fez uma matéria e a rotulou Walderice Santos de forma injusta como funcionária fantasma  Só que nesse dia 10 de janeiro segundo o boletim administrativo da Câmara de 19 de dezembro ela estava de férias — Jair Bolsonaro em entrevista à TV Globo
FALSO,Se ele ganhar eu Gilmar Mendes saio do STF se ele ganhar eu Ciro Gomes saio da política se ele ganhar eu Pabllo Vittar paro de cantar se ele ganhar eu Jean Wyllys saio do Brasil
FALSO,Ibope: Bolsonaro 57% Haddad 43% Band News: Bolsonaro 73% Haddad 27% Paraná Pesquisas: Bolsonaro 61% Haddad 391% Record News: 74% Haddad 16% BTG Pactual: Bolsonaro 63% Haddad 37%
FALSO,Cid Gomes novamente detona o PT e acaba de vez com a candidatura de Haddad
FALSO,Atenção NAO fotografem seu comprovante de voto  ISSO É CRIME ELEITORAL!!!
FALSO,Olha gente eu apertei 17 e tá aparecendo nulo olha aqui Sou eleitor do Bolsonaro Urna adulterada pode chamar a polícia pra me prender
FALSO,Ficou provado no autoteste do TRE-SP que os teclados das urnas Diebold adulteraram os votos que eram digitados
FALSO,Enviar foto do comprovante de votação ajuda a fiscalizar a eleição
FALSO,Urnas estão estão programadas de acordo com o horário de verão
FALSO,Capa da Veja mostra Joaquim Barbosa pedindo para que a população não vote no PT
FALSO,ACUSADO DE ESTUPRO O candidato a presidente Fernando Haddad está sendo acusado de estuprar a pequena Vitória de 11 anos desde ontem ele vem perdendo o apoio de várias pessoas Fonte: UOL Notícias e Jornal Nacional
FALSO,Despedida do horário eleitoral do Bolsonaro onde foi autorizado pela Viviane Senna a usar o Tema da Vitória no piano
FALSO,URGENTE: PESQUISA Tracking BTG Acabou de Sair para o Mercado Financeiro: Bolsonaro 77% Haddad 23%
FALSO,Datafolha computou para Haddad voto declarado em Bolsonaro
FALSO,Datafolha não quis me entrevistar porque sou Bolsonaro
FALSO,O Estado de Sergipe deveria ser unificado a Bahia um estado pequeno que não produz nada pra que está lá?
None,Violência explodindo no país e o que Haddad faz? Planeja soltar condenados!
DISTORCIDO,Qual teria sido o acordo selado entre OEA e PT que não foi selado com a campanha de Jair Bolsonaro?
FALSO,O Brasil inteiro sabe que eu sempre fui rival do PT Mas agora não há saída: entre Haddad e Bolsonaro vou de Haddad - Fernando Henrique Cardoso PSDB
FALSO,Salário Mínimo: R$ 95000 Bolsa Presidiário: R$ 131918 Me convence que o PT sabe governar
FALSO,Empresa contratada pelo TSE para apuração dos votos tem ligação com o PT
FALSO,O Aloizio Mercadante ministro da Educação mobilizou estados e municípios para que fosse incluído no plano estadual ou no plano municipal a ideologia de gênero — Jair Bolsonaro PSL em entrevista à Rádio Guaíba
FALSO,Há um complô espalhando fake news descaradas e descontextualizadas a respeito de declaração sobre salário feminino contra mim — Jair Bolsonaro PSL no Twitter
IMPRECISO,Quando essa proposta chegou eu estava no Piauí a proposta do Temer que era a do Meirelles também Rapidamente eu vi a expectativa de vida no atlas que eu tenho do IBGE 69 anos Então é justo para quem mora no Piauí partir na aposentadoria na beira da morte? — Jair Bolsonaro PSL em entrevista à TV Aparecida
INSUSTENTÁVEL,A agricultura familiar é responsável por cerca de 70% da produção do que é consumido no Brasil além de garantir a própria alimentação e renda da família — Jair Bolsonaro PSL no Twitter
VERDADEIRO,Somente em 2017 mais de 800 milhões de toneladas de cargas foram movimentadas nos 37 portos brasileiros — Jair Bolsonaro PSL no Twitter
FALSO,Nunca vi o Lula pronunciar essa palavra fascista para se referir a ninguém - Fernando Haddad PT em sabatina realizada pelos jornais O Globo Extra e Valor Econômico e pela revista Época
FALSO,O Mourão por exemplo foi ele próprio torturador - Fernando Haddad PT em sabatina realizada pelos jornais O Globo Extra e Valor Econômico e pela revista Época
EXAGERADO,O PSB todos os seus governadores e o seu presidente manifestaram apoio - Fernando Haddad PT em sabatina realizada pelos jornais O Globo Extra e Valor Econômico e pela revista Época
VERDADEIRO,Bolsonaro Nunca aprovou um projeto de segurança em 28 anos - Fernando Haddad PT em entrevista à rádio CBN
VERDADEIRO,Ele Lula não pode aparecer mais que 25% no horário eleitoral - Fernando Haddad PT em entrevista à rádio CBN
FALSO,Ciro Gomes volta da Europa e vota em Bolsonaro
FALSO,Conheça a senhorinha que faz o depoimento tão comovente na propaganda do PT Amélia Teles guerrilheira muito conhecida na Guerrilha do Araguaia presa juntamente com o marido César por ter matado e esquartejado 2 militares Hoje assim como Dilma Rousseff e outros terroristas posam de vítimas
INSUSTENTÁVEL,Os alunos que frequentam as Etecs e Fatecs no último ano 86% já garantem seu emprego — João Doria PSDB
VERDADEIRO,Conseguimos zerar a fila da pré-escola aqui em São Paulo — João Doria PSDB
CONTRADITÓRIO,Eu nem sei quem é o MST — Márcio França PSB
VERDADEIRO,Você João Doria teve menos da metade dos votos agora para governador do que você teve pra prefeito na capital — Márcio França PSB
VERDADEIRO,O seu partido PSB de Márcio França consta lá na página da internet que a reforma agrária terá características socialistas — João Doria PSDB
EXAGERADO,Só na Desenvolve SP você João Doria recebeu mais de R$ 8 milhões de patrocínio — Márcio França PSB
EXAGERADO,Criamos mais 42 mil vagas em creches — João Doria PSDB
VERDADEIRO,Foram destinados R$ 500 mil para a revista Caviar Lifestyle — Márcio França PSB
VERDADEIRO,Você João Doria falou em privatizar a Sabesp depois voltou atrás — Márcio França PSB
IMPRECISO,Nós readequamos o programa e colocamos mais 200 mil crianças da rede pública de ensino recebendo o leite — João Doria PSDB
IMPRECISO,Deixamos os sargentos andarem com fuzis nos veículos — Márcio França PSB
VERDADEIRO,Queda do roubo a banco no Estado de SP 40% — Márcio França PSB
DISTORCIDO,Ele foge do debate porque ele fede disse Haddad
DISTORCIDO,Se eu ganhar eu acabo com esse negócio de creche comunitária O Estado não tem obrigação de olhar os filhos dos outros Isso é obrigação dos pais Dep Jair Bolsonaro
FALSO,Cortei 13% de custeio da cidade de São Paulo
FALSO,Tem uma tabela de frete hoje que o Supremo Tribunal Federal já declarou constitucional
IMPRECISO,Bati recorde de investimento em quatro anos: R$ 17 bilhões
IMPRECISO,Uma pessoa Jair Bolsonaro que falou que os nordestinos deviam comer capim
FALSO,Jean Wyllys pode ficar fora da Câmara em 2019
FALSO,Procuradoria investiga dinheiro sujo na campanha de Bolsonaro
VERDADEIRO,SP é o principal produtor de açúcar e de álcool — Márcio França PSB
IMPRECISO,Autorizamos que os sargentos pudessem andar armados com fuzis nos veículos — Márcio França PSB
VERDADEIRO,Guarulhos colocava ainda coloca seu esgoto in natura no Tietê — João Doria PSDB
VERDADEIRO,18 das 20 melhores estradas do país estão em São Paulo — João Doria PSDB
EXAGERADO,42 mil vagas em creches foram feitas em 15 meses na cidade de São Paulo — João Doria PSDB
VERDADEIRO,O acréscimo das vagas da USP Unicamp e Unesp para alunos da escola pública foi uma conquista do governo do Estado — Márcio França PSB
IMPRECISO,Hoje das 100 melhores escolas públicas do país 82 estão no Ceará — Fernando Haddad em seu perfil no Twitter
EXAGERADO,O que nos separa da vitória são oito ou nove pontos para afastar esse fantasma — Fernando Haddad em seu perfil no Twitter
INSUSTENTÁVEL,Só 8% dos homicídios levam alguém pra cadeia — Fernando Haddad em entrevista ao SBT
VERDADEIRO,O Estado do Rio de Janeiro é o Estado que mais hospitais universitários federais tem — Fernando Haddad em entrevista à rádio Tupi
VERDADEIRO,Criamos 20 milhões de empregos em 12 anos — Fernando Haddad em uma entrevista ao SBT
FALSO,O plano de governo de Haddad propõe Criar mais estatais — Jair Bolsonaro em entrevista ao SBT
CONTRADITÓRIO,Eu não prego a violência muito pelo contrário eu prego a não violência — Jair Bolsonaro em live no Facebook no dia 14 de outubro
FALSO,No Brasil você não pode falar em mais ricos tá todo mundo sufocado — Jair Bolsonaro em entrevista ao SBT
EXAGERADO,Em nenhum momento ele General Mourão falou em acabar com o 13º — Jair Bolsonaro em entrevista ao SBT
VERDADEIRO,Tem mais emprego nos Estados Unidos com o novo governo Trump — Jair Bolsonaro em seu perfil no Facebook
FALSO,AVENIDA PAULISTA FECHADA DE PONTA À PONTA !!! MILHARES CONTRA O PT E À FAVOR DE BOLSONARO
FALSO,Roger Waters envolvido em esquema de corrupção do PT
EXAGERADO,Eu nunca fui líder do governo do Lula — Márcio França PSB
VERDADEIRO,Tem uma revista dele chamada 'Caviar' Só daqui do governo de São Paulo tirou R$ 500 mil de patrocínio — Márcio França PSB
FALSO,O BNDES financia a Embraer e financia todos os aviões privados e militares através de financiamento — João Doria PSDB
VERDADEIRO,O Bom Prato Nunca teve aumento — João Doria PSDB
IMPRECISO,PF no comitê do João Doria por caixa dois propaganda irregular propaganda sem CNPJ — Márcio França PSB
VERDADEIRO,Hoje São Paulo tem 328 mil crianças frequentando creches — João Doria PSDB
FALSO,A farinata foi proposta pela doutora Zilda Arns — João Doria PSDB
VERDADEIRO,Quem contratou o ministro do Lula pra ser presidente da sua empresa foi você — Márcio França PSB
EXAGERADO,Não cortamos regularizamos o programa acrescentamos mais 200 mil famílias 200 mil crianças recebendo leite limitamos a sete anos — João Doria PSDB
VERDADEIRO,Você propôs a farinata aqui na merenda das crianças — Márcio França PSB
VERDADEIRO,Doria Ajudou a financiar a campanha do PT de José Eduardo Cardozo da Manuela D’Ávila que é vice do Haddad — Márcio França PSB
VERDADEIRO,Você Doria cortou o programa de Leite aqui em São Paulo — Márcio França PSB
VERDADEIRO,Incentivou financeiramente o PT apoiou candidatos do PT com dinheiro — Márcio França PSB
FALSO,Você França mandou a peça orçamentária do seu governo para a Assembleia  reduzindo em 17% o valor para segurança pública — João Doria PSDB
VERDADEIRO,Você Márcio França no governo Lula votou a favor da CPMF — João Doria PSDB
IMPRECISO,França Defendeu a Dilma Rousseff foi contra o impeachment — João Doria PSDB
IMPRECISO,70% da capital vota em mim — Márcio França PSB
IMPRECISO,O seu partido tem uma página no site oficial dizendo Lula Livre pedindo a libertação do Lula — João Doria PSDB
VERDADEIRO,O MST que hoje manifestou o apoio a você França — João Doria PSDB
VERDADEIRO,O coitado do Bolsonaro fugiu de você lá no Rio de Janeiro — Márcio França PSB
VERDADEIRO,Ele o ex-presidente Lula emprestou pra você R$ 44 milhões do BNDES para você comprar um jatinho — Márcio França PSB
VERDADEIRO,Você Doria disse que ele Bolsonaro era um extremo que ia ser um desastre para o Brasil — Márcio França PSB
FALSO,Fim dos tempos: Governo Federal distribui Kit Satânico em escolas públicas através do MEC
FALSO,Vaza áudio: Haddad e Manuela tramando contra Exército e Bolsonaro
FALSO,Livro de Haddad cita 'mandamentos de Lênin'
FALSO,Abuso! Deputado do PT do Rio de Janeiro visita escolas e oferece dinheiro para que as professoras façam um vídeo falso Veja o que aconteceu
FALSO,Homem com camisa escrito Lula Livre é preso com mais de 200 kg de maconha
FALSO,O candidato dos pobres chegando agora a tarde no aeroporto de Congonhas em SP numa FERRARI que vale R$ 180000000
FALSO,Haddad: A revolução que acontece na Venezuela é sem dúvidas uma conquista que deverá ser exemplo para todos os Paises! Parabéns Maduro! Estamos juntos !
FALSO,O PL 236/2012 Torna a pedofilia um ato legal O sexo com crianças a partir de 12 anos deixaria de ser crime
FALSO,Haddad escreveu livro que defende a relação sexual entre pais e filhos
FALSO,A Fundação Transparência Política Internacional apontou o deputado federal Jair Messias Bolsonaro como o político mais honesto do mundo
INSUSTENTÁVEL,Só 8% dos crimes de morte no Brasil chegam a uma conclusão — Fernando Haddad em sua página no Facebook
IMPRECISO,O congelamento de gastos impõe severos prejuízos à população — Fernando Haddad em seu perfil oficial no Twitter
VERDADEIRO,O Brasil é um dos países que mais utiliza agrotóxicos no mundo — Fernando Haddad em sua página no Facebook
VERDADEIRO,Meu adversário Jair Bolsonaro defende torturador até hoje — Fernando Haddad em seu perfil no Twitter
VERDADEIRO,Na última pesquisa 69% dos cidadãos brasileiros se declararam plenamente a favor da democracia como melhor regime de governo — Fernando Haddad em coletiva para a imprensa internacional
FALSO,Nem o Lula teve uma votação tão maciça no primeiro turno quanto eu tive — Jair Bolsonaro em entrevista à rádio Jovem Pan
FALSO,Haddad criou o 'kit gay' Você quer que o seu filho aprenda essas práticas a partir de com seis anos nas escolas? — Jair Bolsonaro em entrevista à rádio Jovem Pan
FALSO,Há estudos que apontam que quase 40% dos estudantes no ensino superior são analfabetos funcionais — Jair Bolsonaro em seu perfil no Twitter
EXAGERADO,Meu adversário Fernando Haddad falou que vai combater o encarceramento e soltar criminosos da cadeia — Jair Bolsonaro em seu perfil no Twitter
VERDADEIRO,Estamos chegando a 4 trilhões da dívida interna — Jair Bolsonaro em entrevista à TV Bandeirantes
FALSO,Uerj amanheceu assim Teatrão
FALSO,TSE informa: 72 milhões de votos anulados pelas urnas! A diferença de votos que levaria à vitória de Bolsonaro no primeiro turno foi de menos de 2 milhões O TSE tem obrigação de esclarecer os motivos que levaram à anulação de mais de 72 milhões de votos que representam 62% do total A anulação só pode acontecer em voto de papel porque permite rasuras ou ambiguidade
FALSO,Haddad é o criador do kit gay para crianças de seis anos
FALSO,CONFISCO DE BENS E DO SEU DINHEIRO A MORADIA SOCIAL E A POUPANÇA FRATERNA QUE PREVEEM COMPARTILHAR SUA RENDA E POUPANÇA E BENS PATRIMONIAIS DURANTE 7 ANOS OLHA A MERDA !!!
FALSO,'Andrade' deixa escapar e confessa que Lula será o verdadeiro presidente em caso de vitória
FALSO,Vice de Haddad garante: a bandeira LGBT tremulará junto com a brasileira com a volta do PT
VERDADEIRO,No Brasil quem paga mais imposto proporcionalmente à sua renda é o pobre
VERDADEIRO,Isenção de imposto de renda para quem ganha até cinco salários mínimos Uma proposta defendida por nós desde janeiro de 2018
EXAGERADO,Nunca alguém que fez oposição ao PT no Nordeste recebeu uma votação tão expressiva
IMPRECISO,Eu o General Mourão desautorizei nesses dois momentos constituinte e 13° salário
VERDADEIRO,A redução da maioridade penal que o povo quer e deseja
FALSO,Como uma seção tem 777 eleitores aptos um candidato consegui sic 9909 votos!
DISTORCIDO,Haddad diz que a eleição já acabou agora pede dinheiro para os eleitores
FALSO,Palocci afirmou que eleições eram decididas pela cúpula Urnas foram encomendadas para fraudar eleições! O que o TSE vai dizer agora?
FALSO,Não vá votar com camiseta amarela ou de outra cor qualquer que possa lhe identificar como ‘bolsonariano’ pois logo que você votar os mesários podem colocar o n° 17 do lado da sua assinatura de quem votou no Bolsonaro e assim anular o voto
FALSO,Ciro Gomes se declara INIMIGO da Igreja Católica!
FALSO,Vivemos numa época onde querem que os padres se casem e que os casados se divorciem Querem que os héteros tenham relacionamentos líquidos sem compromisso mas que os gays se casem na Igreja
FALSO,Gastos com campanha presidencial 2018 Meirelles: R$ 45 milhões Alckmin: R$32 milhões Haddad: R$ 29 milhões Ciro: R$ 10 milhões Marina: R$ 4 milhões Bolsonaro: Wi-Fi de casa
FALSO,Jean Wyllys é o futuro ministro da Educação do governo Fernando Haddad do PT
FALSO,A bíblia é uma piada quem crê nela é palhaço e as igrejas são um circo — Jean Wyllys PSOL
DISTORCIDO,Mulher tem é que calar a boca e não dar um pio Pois o único papel da minha mulher é o de dormir comigo - Ciro Gomes
FALSO,Flavio Bolsonaro usou camiseta estampada com a frase Movimento nordestinos voltem pra casa O Rio não é lugar para jegue
FALSO,Nunca precisou da Lei Rouanet É o artista brasileiro mais conhecido em Hollywood Taí a diferença
FALSO,Alunos protestam sem roupa contra o candidato Bolsonaro
FALSO,PF apreende van com 152 urnas eletrônicas dessas 121 estavam preenchidas com votos para o Haddad
FALSO,Você tem que ver quem estava no movimento #elenão Artistas que há muito vêm mamando na Lei Rouanet Você não tem quem está no #elenão que não esteja na Lei Rouanet
FALSO,Quando descobriram que eu sou homofóbico? Descobriram em 2010 Um plano do governo de ao combater a homofobia segundo eles as escolas do ensino fundamental ou seja criancinhas a partir de 6 anos de idade a assistirem filmes de meninos se beijando de meninas se acariciando
EXAGERADO,O processo está sendo conduzido por um delegado que por dois anos foi o homem de confiança de Fernando Pimentel governador de Minas Gerais
IMPRECISO,Por ocasião da leitura da ação penal 470 o mensalão o senhor ministro Joaquim Barbosa me cita como o único deputado da base aliada que não foi comprado pelo PT
VERDADEIRO,Até hoje o PT defende o regime de Maduro como defendia o regime de Chávez
VERDADEIRO,Ele José Dirceu fala também em tirar poderes do Supremo Tribunal Federal
FALSO,O Cristianismo vai desaparecer Vai diminuir e encolher  Nós somos mais populares que Jesus neste momento — Manuela D’Ávila
VERDADEIRO,Em São Paulo fizemos superávit de R$ 53 bilhões — Geraldo Alckmin PSDB
FALSO,No nosso período a dívida caiu pela metade — Fernando Haddad PT
IMPRECISO,Não recebo aposentadoria de ex-governador — Alvaro Dias Podemos
VERDADEIRO,não recebo auxílio moradia não recebo verba indenizatória — Alvaro Dias Podemos
VERDADEIRO,2 milhões de bolsas concedidas pelo Prouni — Fernando Haddad PT
FALSO,Vai mais dinheiro para o Fies do que para a universidade pública — Guilherme Boulos PSOL
VERDADEIRO,Mais de 52 milhões de brasileiros abaixo da linha da pobreza — Alvaro Dias Podemos
VERDADEIRO,Bolsonaro recebeu auxílio moradia tendo casa — Guilherme Boulos PSOL
INSUSTENTÁVEL,Oito anos de FHC 40 operações especiais da Polícia Federal 12 anos do PT 2100 operações da Polícia Federal — Fernando Haddad PT
FALSO,A Dilma prometeu entregar 6 mil creches entregou 80 — Henrique Meirelles MDB
VERDADEIRO,Quem tem um carro paga IPVA quem tem jatinho helicóptero não paga um real — Guilherme Boulos PSOL
VERDADEIRO,As ações da Taurus aumentaram 180% em 60 dias — Ciro Gomes PDT
VERDADEIRO,Bolsonaro Tem o seu vice dizendo que vai acabar com 13º e adicional de férias — Ciro Gomes PDT
IMPRECISO,Há 7 milhões de crianças precisando de creche — Henrique Meirelles MDB
VERDADEIRO,Zerei o ICMS da farinha do trigo do pão do macarrão - Geraldo Alckmin PSDB
VERDADEIRO,O Lula saiu com 86% de aprovação — Fernando Haddad PT
VERDADEIRO,O Brasil tem hoje 760 mil pessoas presas — Ciro Gomes PDT
EXAGERADO,70% disso dos 760 mil presos são jovens presos pela polícia com minúsculas quantidades de drogas — Ciro Gomes PDT
VERDADEIRO,mulher grávida poder trabalhar em local insalubre depois da reforma trabalhista — Marina Rede Rede
VERDADEIRO,Uma pessoa pobre ter que pagar para ter uma perícia técnica para poder entrar na Justiça — Marina Silva Rede
VERDADEIRO,Enquanto isso no governo FHC a carga tributária aumentou de 26% para 32% — Fernando Haddad PT
VERDADEIRO,Reduzimos o imposto do etanol do carro de 25% para 12% o menor do país — Geraldo Alckmin PSDB
FALSO,O PSDB está fora do governo federal há 16 anos — Geraldo Alckmin PSDB
VERDADEIRO,32 milhões de pessoas para viver de bico — Ciro Gomes PDT
VERDADEIRO,Acumulamos quase US$ 400 bilhões de reservas cambiais — Fernando Haddad PT
FALSO,Que tal estimular relação sexual entre pai e filha? Espanto? Esta é a leitura que foi disponibilizada pelo Ministro de Educação Haddad enquanto esteve à frente deste ministério
FALSO,Após o bispo Edir Macedo declarar apoio ao Bolsonaro manifestantes de esquerda protestam em frente à Igreja Universal
FALSO,FUNCIONÁRIA DO IBOPE E DATA FOLHA DESMASCARA O INSTITUTO E FALA A VERDADE
IMPRECISO,Lançamos o Corujão da Saúde Em 83 dias nós zeramos esse deficit — João Doria PSDB
VERDADEIRO,86% das penitenciárias não têm bloqueador de celular até hoje — Paulo Skaf MDB
VERDADEIRO,O estado continua fechando salas de aula — Professora Lisete PSOL
VERDADEIRO,No Brasil mata-se mais a população negra — Marcelo Cândido PDT
VERDADEIRO,João Doria Foi ser condenado por improbidade administrativa — Luiz Marinho PT
EXAGERADO,Grande parte desse esgoto coletado em São Paulo 40%  não é tratado — Paulo Skaf MDB
VERDADEIRO,Você Márcio França fez parte do conselho político do governo Lula — João Doria PSDB
FALSO,94% dos medicamentos de uso contínuo são disponíveis nas farmácias municipais da cidade de São Paulo — João Doria PSDB
VERDADEIRO,Temos o maior setor presidiário do país mais de 200 mil presos — Márcio França PSB
EXAGERADO,Marcelo Candido como prefeito de Suzano Teve todas as suas contas rejeitadas — João Doria PSDB
EXAGERADO,A Sabesp não trata 45% do esgoto coletado — Luiz Marinho PT
FALSO,Quase uma escola por hora é assaltada em São Paulo — Paulo Skaf MDB
VERDADEIRO,O TCE já vem indicando que o estado de São Paulo está próximo do limite de despesas correntes — Rodrigo Tavares PRTB
EXAGERADO,Estado de São Paulo tem R$ 13 bilhão por ano para habitação — Márcio França PSB
FALSO,Se votar só em presidente e votar em branco nos outros o voto é tido como voto parcial Logo seu voto é anulado
FALSO,Segundo a PM foram 1 milhão de pessoas em ato de apoio a Jair Bolsonaro na av Paulista
EXAGERADO,Eu fui ministro da Educação e praticamente tripliquei o número de universitários no Brasil — Fernando Haddad PT
VERDADEIRO,220 mil pontos de comércio fecharam no Brasil — Ciro Gomes PDT
VERDADEIRO,Somos mais de 70 mil políticos no Brasil com mandato — Alvaro Dias Podemos
IMPRECISO,Nunca fui favorável à PEC do Teto — Geraldo Alckmin PSDB
VERDADEIRO,Existem 14 milhões de famílias que dependem do Bolsa Família no Brasil — Henrique Meirelles MDB
FALSO,O Brasil não tem nem sequer satélite de comunicação — Cabo Daciolo Patriota
VERDADEIRO,Educação e saúde podem crescer na PEC do Teto de Gastos acima da inflação — Geraldo Alckmin PSDB
VERDADEIRO,Bolsonaro também disse em plenário que votou no Lula — Geraldo Alckmin PSDB
INSUSTENTÁVEL,No Brasil Tem mais casa sem gente do que gente sem casa — Guilherme Boulos PSOL
VERDADEIRO,17 milhões de brasileiros desempregados  entre desempregados e desalentados — Ciro Gomes PDT
VERDADEIRO,32 milhões de brasileiros na informalidade — Ciro Gomes PDT
IMPRECISO,Nunca esteve na minha proposta a CPMF — Ciro Gomes PDT
VERDADEIRO,O general Mourão propôs convocar um conselho de notáveis  e por fora do Congresso Nacional que não teria nenhuma participação do processo Submeter uma carta redigida por esse conselho por plebiscito ou referendo à população — Fernando Haddad PT
VERDADEIRO,O próprio candidato do PT Fernando Haddad disse que vai chamar uma constituinte sem dizer quais são as bases dessa constituinte — Marina Silva Rede
VERDADEIRO,52 milhões de pessoas abaixo da pobreza — Alvaro Dias Podemos
FALSO,No dia do evento 6 de setembro o outro criminoso tentou entrar na Câmara com a carteira de identidade do cara Adélio Bispo de Oliveira
FALSO,O voto eletrônico É um sistema eleitoral que não existe em nenhum lugar do mundo
FALSO,A senhora Dilma esteve em Quito em 2014 acertou com a Unasul Onde descobriram que o voto eletrônico era o caminho do poder
FALSO,Me ache um áudio imagem minha que mulher tem que ganhar menos que homem Não existe isso
FALSO,Desde o Estatuto do Desarmamento a criminalidade subiu
EXAGERADO,A própria ex-mulher na matéria da Veja desmente muita coisa
FALSO,A revista reproduz várias acusações feitas pela ex-esposa de Bolsonaro em um processo que corria na Vara de Família sobre a guarda de filhos O processo foi movido pelo presidente ele portanto não é o réu
FALSO,Nenhuma das acusações é provada nem no processo nem na revista
DISTORCIDO,O gerente entrevistado pela revista é Alberto Carraz condenado em 2015 pelo furto de US$ 400 mil e R$ 1 milhão do cofre de um cliente no Banco do Brasil
DISTORCIDO,O advogado é Daniane Furtado que trabalhava no escritório de Dias Toffoli quando este era assessor de José Dirceu na Casa Civil Furtado assumiu como advogado do PT em ações contra a Petrobras quando Toffoli não podia mais legalmente defender o partido
FALSO,OLHA O QUE O PT ESTÁ COLOCANDO NAS CRECHES MEU DEUS DO CÉU
FALSO,Diretor da OEA assume fraude para beneficiar o PT
DISTORCIDO,Delegado que investiga atentado contra Bolsonaro é petista declarado e já trabalhou para Pimentel
VERDADEIRO,São Paulo cresceu no Ideb no primeiro ciclo cresceu no segundo ciclo perdeu 01 no ensino médio — Geraldo Alckmin PSDB
FALSO,O meu estado tem a menor mortalidade infantil do Brasil — Ciro Gomes PDT
VERDADEIRO,Quem tem um carro paga imposto IPVA Quem tem um jatinho ou um helicóptero não paga nada — Guilherme Boulos PSOL
VERDADEIRO,Participei de governos que geraram em 12 anos 20 milhões de postos de trabalho — Fernando Haddad PT
VERDADEIRO,Você Marina participou desse movimento pelo impeachment para colocar o Temer lá — Fernando Haddad PT
FALSO,Temos mais de 400 milhões na extrema pobreza — Cabo Daciolo Patriota
VERDADEIRO,Aqueles que se aposentam mais cedo são aqueles que ganham mais  Aqueles que ganham menos têm que chegar aos 65 anos de idade para se aposentar — Henrique Meirelles MDB
VERDADEIRO,Hoje o maior desemprego é sobre elas as mulheres — Marina Silva Rede
VERDADEIRO,Todas as pesquisas mostram que eu ganho do Haddad e ganho do Bolsonaro no segundo turno — Ciro Gomes PDT
EXAGERADO,Quando fui ministro da Educação levei banda larga para todas as escolas urbanas — Fernando Haddad PT
